feature,importance
SP500_lag1,1.2011017125182995e-05
AHETPI_lag3,1.1827122489276768e-05
INDPRO,1.165168462214767e-05
PAYEMS_ma3,1.1597111172220878e-05
PSAVERT,1.1374706398518201e-05
CPIUFDSL_lag3,1.0802941096710317e-05
INDPRO_lag3,1.0792770784252946e-05
BUSINV_lag1,1.0783990865356909e-05
TCMDO_pct,1.0658950051800346e-05
AHETPI_ma3,1.0342465138497033e-05
M1SL_lag6,9.838173197242294e-06
FMNHSHPSIUS_lag6,9.713565696817225e-06
HPIPONM226S_lag6,9.677595677347772e-06
SP500,9.597192025284372e-06
CSUSHPINSA_lag3,9.543607059823954e-06
MORTGAGE30US,9.488999887698754e-06
AWHMAN_lag1,9.422188026798288e-06
CUSR0000SEHA_ma3,9.222024799558236e-06
CPIAUCSL_lag3,8.664808030343482e-06
PCE_lag6,8.612343498465049e-06
FMNHSHPSIUS_yoy,8.545371834537434e-06
RSAFS_lag1,8.217669550042345e-06
FMNHSHPSIUS_lag3,8.202944479578851e-06
DSPIC96_lag1,8.143909690064315e-06
INDPRO_lag6,7.931857613074179e-06
FMNHSHPSIUS_ma3,7.60544807405684e-06
PAYEMS,7.5147296313189255e-06
SP500_lag3,7.455212775978015e-06
CUSR0000SEHA_lag1,7.137881463376305e-06
PCE_lag1,6.893895606125453e-06
CPILFESL_lag6,6.858981989198464e-06
PAYEMS_lag1,6.8445948655317164e-06
TCMDO,6.675872344838399e-06
AHETPI_lag1,6.491207256341444e-06
CC4WSA_lag3,6.462071737974719e-06
PCE_ma3,6.183408993188825e-06
AHETPI_lag6,6.080675774666638e-06
SP500_yoy,6.0714958355529216e-06
DSPIC96,5.829465940644891e-06
M1SL_ma3,5.670201598738807e-06
CPIUFDSL_lag6,5.588126990756361e-06
AHETPI,5.536562217793522e-06
PCE_lag3,5.232568673847838e-06
CPIUFDSL_ma3,4.914294077154458e-06
DSPIC96_ma3,4.593768780283884e-06
RSAFS_ma3,4.38168799876934e-06
CPILFESL_lag3,4.361068613778144e-06
CUSR0000SEHA_lag3,3.958874929514945e-06
CPILFESL,3.379435117929693e-06
CPIUFDSL_lag1,3.32797856159121e-06
HPIPONM226S_lag3,3.2657886969562238e-06
CPIAUCSL_ma3,2.7270678781189754e-06
TCMDO_ma3,2.5311934826627197e-06
SP500_ma3,2.404709334053079e-06
CPIAUCSL_lag6,2.2403035776413527e-06
CPILFESL_ma3,1.7304537999822613e-06
